file,added_lines,deleted_lines,commits,bug_fix_commits,developers,global_developers,average_time_between_changes,global_average_time_between_changes,mean_expertise,min_expertise,comments_changed,comments_unchanged
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,26,5,5,0,3,12,656698.75,862701.0294117647,3.6666666666666665,2,4,1
ql/src/java/org/apache/hadoop/hive/ql/parse/ParseDriver.java,11,0,1,0,1,12,0.0,6943454.470588235,2.0,2,1,0
ql/src/java/org/apache/hadoop/hive/ql/parse/QB.java,4,0,1,0,1,14,0.0,4110134.214285714,2.0,2,1,0
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,172,75,16,1,7,62,328852.73333333334,223080.18148148147,26.285714285714285,1,14,2
itests/util/src/main/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/SQLStdHiveAuthorizationValidatorForTest.java,10,6,2,1,2,11,1263267.0,6202533.736842105,1.5,1,1,1
ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderImpl.java,42,22,3,1,3,21,1085092.5,1020795.0677966102,4.333333333333333,1,3,0
ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestVectorizedORCReader.java,21,15,3,1,3,10,1085092.5,5179453.388888889,1.3333333333333333,1,3,0
storage-api/src/java/org/apache/hadoop/hive/ql/exec/vector/TimestampColumnVector.java,2,2,2,1,1,7,1803403.0,2724135.1785714286,4.0,4,1,1
storage-api/src/test/org/apache/hadoop/hive/ql/exec/vector/TestStructColumnVector.java,12,11,2,1,1,6,1803403.0,6236594.533333333,3.0,3,1,1
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/tools/HiveSchemaHelper.java,13,6,4,0,2,4,1596928.6666666667,3126557.5714285714,2.0,1,3,1
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,68,45,28,1,10,75,158116.07407407407,122730.91666666667,27.2,1,22,6
llap-client/src/java/org/apache/hadoop/hive/llap/registry/LlapServiceInstance.java,1,1,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/cli/LlapOptionsProcessor.java,23,27,1,0,1,10,0.0,2375872.1363636362,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/cli/LlapServiceDriver.java,6,5,1,0,1,16,0.0,925118.3539823008,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/cli/LlapSliderUtils.java,66,145,1,0,1,6,0.0,4349370.5,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/cli/LlapStatusServiceDriver.java,79,274,1,0,1,8,0.0,1516899.7826086956,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryInfo.java,1,1,1,0,1,8,0.0,2650896.756756757,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveFilterProjectTransposeRule.java,7,1,1,0,1,7,0.0,10909895.3,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/FixedBucketPruningOptimizer.java,18,2,1,0,1,9,0.0,6887954.416666667,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorMapOperator.java,2,3,1,0,1,11,0.0,2644870.11627907,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizedRowBatchCtx.java,14,31,3,0,3,20,412276.5,1751590.9705882352,2.3333333333333335,1,3,0
ql/src/java/org/apache/hadoop/hive/ql/io/orc/VectorizedOrcAcidRowBatchReader.java,124,97,6,1,3,7,556736.0,2494925.217391304,3.3333333333333335,1,6,0
ql/src/java/org/apache/hadoop/hive/ql/metadata/Partition.java,12,1,1,0,1,16,0.0,3423989.375,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/SamplePruner.java,4,3,1,0,1,11,0.0,8122664.076923077,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/MaterializedViewTask.java,0,2,1,0,1,3,0.0,2815946.0,3.0,3,1,0
ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,214,96,6,1,4,53,485371.8,348391.6754385965,7.0,1,4,2
ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java,69,77,3,0,2,36,1719293.0,354452.4239482201,49.0,3,3,0
standalone-metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore.cpp,2756,2364,3,0,3,10,1209078.5,761766.5294117647,3.6666666666666665,3,3,0
standalone-metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore.h,185,37,3,0,3,8,1209078.5,1079169.25,3.6666666666666665,3,3,0
standalone-metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore_server.skeleton.cpp,7,2,3,0,3,8,1209078.5,1177275.5454545454,3.3333333333333335,2,3,0
standalone-metastore/src/gen/thrift/gen-cpp/hive_metastore_types.cpp,3831,3773,3,0,3,12,1209078.5,644394.1627906977,3.3333333333333335,1,3,0
standalone-metastore/src/gen/thrift/gen-cpp/hive_metastore_types.h,74,35,3,0,3,12,1209078.5,616668.1428571428,3.0,1,3,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/CreationMetadata.java,107,4,1,0,1,5,0.0,1459617.0,2.0,2,1,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/FindSchemasByColsResp.java,18,18,1,0,1,4,0.0,1523350.0,1.0,1,1,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/Materialization.java,23,386,1,0,1,5,0.0,1436814.1666666667,5.0,5,1,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/SchemaVersion.java,18,18,1,0,1,4,0.0,1523350.0,1.0,1,1,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/ThriftHiveMetastore.java,2919,1819,3,0,3,9,1209078.5,893105.5862068966,3.6666666666666665,3,3,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMFullResourcePlan.java,72,72,1,0,1,6,0.0,1821972.0909090908,3.0,3,1,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMGetAllResourcePlanResponse.java,18,18,1,0,1,6,0.0,1790925.1666666667,3.0,3,1,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMGetTriggersForResourePlanResponse.java,18,18,1,0,1,6,0.0,1474887.5714285714,3.0,3,1,0
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMValidateResourcePlanResponse.java,32,32,1,0,1,6,0.0,1535078.7142857143,3.0,3,1,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,214,86,8,0,7,15,346694.14285714284,379528.0208333333,4.571428571428571,1,8,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClient.java,18,8,5,0,4,12,604539.25,507110.8823529412,4.75,2,5,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/IMetaStoreClient.java,18,2,3,0,3,7,1209078.5,718407.0833333334,3.3333333333333335,2,3,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/MaterializationsCacheCleanerTask.java,0,63,1,0,1,1,0.0,13363618.0,2.0,2,1,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/MaterializationsInvalidationCache.java,9,543,2,0,1,3,945726.0,1915752.2222222222,8.0,8,2,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/MaterializationsRebuildLockCleanerTask.java,25,5,1,0,1,1,0.0,9113518.0,2.0,2,1,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java,376,146,4,0,4,17,806052.3333333334,822105.7666666667,8.75,1,4,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/model/MCreationMetadata.java,13,3,1,0,1,2,0.0,6568276.5,2.0,2,1,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnDbUtil.java,12,3,2,0,2,4,1006774.0,2266589.0,3.5,2,1,1
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java,518,174,6,0,3,5,484606.6,2242106.6363636362,6.333333333333333,5,5,1
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnStore.java,37,12,3,0,2,3,1211516.5,2155221.25,3.0,2,3,0
standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClientPreCatalog.java,10,7,3,0,3,6,1209078.5,759459.8333333334,2.0,2,3,0
standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/TestMetaStoreMaterializationsCacheCleaner.java,0,328,1,0,1,2,0.0,3340904.5,4.0,4,1,0
standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/client/TestTablesCreateDropAlterTruncate.java,4,3,3,0,3,6,863090.0,1459617.0,1.3333333333333333,1,3,0
itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcGenericUDTFGetSplits.java,377,187,4,0,1,1,471577.3333333333,471577.3333333333,4.0,4,4,0
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HiveSplitGenerator.java,90,49,4,0,1,15,471577.3333333333,2778004.1666666665,7.0,7,4,0
ql/src/java/org/apache/hadoop/hive/ql/parse/TypeCheckProcFactory.java,5,2,2,0,2,22,462023.0,1440322.8148148148,10.0,9,1,1
ql/src/java/org/apache/hadoop/hive/ql/hooks/HiveProtoLoggingHook.java,30,8,2,1,1,2,363466.0,2200242.5,2.0,2,2,0
ql/src/test/org/apache/hadoop/hive/ql/hooks/TestHiveProtoLoggingHook.java,24,7,2,1,1,2,363466.0,2200242.5,2.0,2,2,0
ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java,2,2,2,0,2,43,2834025.0,627129.3548387097,14.0,4,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/FileSinkOperator.java,54,30,2,0,2,25,3536984.0,857668.5220588235,3.5,1,2,0
ql/src/test/org/apache/hadoop/hive/ql/TestTxnNoBuckets.java,92,37,4,0,3,9,855600.0,1093301.125,5.666666666666667,1,4,0
ql/src/java/org/apache/hadoop/hive/ql/parse/MaskAndFilterInfo.java,3,1,1,0,1,4,0.0,9976707.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/parse/TableMask.java,1,1,1,0,1,8,0.0,3400106.285714286,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java,56,29,5,1,3,57,717939.25,357352.82282282284,13.0,1,5,0
ql/src/java/org/apache/hadoop/hive/ql/util/HiveStrictManagedMigration.java,934,1,3,0,1,1,835521.5,835521.5,3.0,3,3,0
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/TransactionalValidationListener.java,93,48,9,0,5,6,358785.5,1755700.2142857143,2.8,1,7,2
{ql/src/java/org/apache/hadoop/hive/ql/util => standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/utils}/HiveStrictManagedUtils.java,20,35,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConvertJoinMapJoin.java,86,10,3,0,3,22,595624.5,1178155.92,6.666666666666667,2,2,1
hcatalog/streaming/src/java/org/apache/hive/hcatalog/streaming/HiveEndPoint.java,66,76,1,0,1,16,0.0,2378891.1224489794,19.0,19,1,0
hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/TestStreaming.java,12,2,2,0,2,17,671599.0,1456547.3974358975,18.5,5,2,0
itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestTransactionalValidationListener.java,381,127,4,0,2,2,15690.0,15690.0,2.0,2,3,1
standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/client/MetaStoreClientTest.java,4,4,4,0,2,3,15690.0,2492840.25,2.0,2,3,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTypes.java,14,13,2,0,1,2,338216.0,22694842.0,2.0,2,1,1
beeline/src/java/org/apache/hive/beeline/BeeLine.java,38,16,3,0,3,40,458677.5,863627.2910447761,1.6666666666666667,1,0,3
ql/src/java/org/apache/hadoop/hive/ql/exec/MoveTask.java,2,1,1,0,1,31,0.0,997679.56302521,1.0,1,1,0
ql/src/test/org/apache/hadoop/hive/ql/metadata/TestHiveCopyFiles.java,6,6,1,0,1,7,0.0,7025808.571428572,1.0,1,1,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloRangeGenerator.java,1,1,1,0,1,3,0.0,9200933.5,1.0,1,1,0
common/src/java/org/apache/hadoop/hive/common/type/Date.java,181,0,1,0,1,1,0.0,0.0,1.0,1,1,0
common/src/java/org/apache/hadoop/hive/common/type/Timestamp.java,235,0,1,0,1,1,0.0,0.0,1.0,1,1,0
common/src/java/org/apache/hadoop/hive/common/type/TimestampTZUtil.java,7,9,1,0,1,4,0.0,6500611.5,2.0,2,1,0
common/src/java/org/apache/hadoop/hive/common/type/TimestampUtils.java,171,0,1,0,1,1,0.0,0.0,1.0,1,1,0
common/src/java/org/apache/hive/common/util/DateParser.java,11,13,1,0,1,5,0.0,5378380.666666667,4.0,4,1,0
common/src/java/org/apache/hive/common/util/DateUtils.java,2,0,1,0,1,12,0.0,3995699.846153846,1.0,1,1,0
common/src/java/org/apache/hive/common/util/TimestampParser.java,14,22,1,0,1,5,0.0,26557752.25,1.0,1,1,0
common/src/test/org/apache/hadoop/hive/common/type/TestHiveDecimalOrcSerializationUtils.java,0,8,1,0,1,5,0.0,7853700.333333333,1.0,1,1,0
common/src/test/org/apache/hadoop/hive/common/type/TestTimestampTZ.java,0,1,1,0,1,5,0.0,5838752.166666667,2.0,2,1,0
common/src/test/org/apache/hive/common/util/TestDateParser.java,3,4,1,0,1,4,0.0,6454056.8,4.0,4,1,0
common/src/test/org/apache/hive/common/util/TestTimestampParser.java,15,12,1,0,1,4,0.0,35410336.333333336,1.0,1,1,0
druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidSerDe.java,210,204,3,0,3,7,906064.0,1044906.8571428572,15.0,3,3,0
druid-handler/src/test/org/apache/hadoop/hive/druid/serde/TestDruidSerDe.java,24,26,2,0,2,4,622470.0,4489120.8,2.0,1,2,0
hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseRowSerializer.java,1,1,1,0,1,7,0.0,16178451.0,1.0,1,1,0
hbase-handler/src/java/org/apache/hadoop/hive/hbase/HiveHBaseInputFormatUtil.java,1,2,1,0,1,10,0.0,11324915.7,1.0,1,1,0
hbase-handler/src/java/org/apache/hadoop/hive/hbase/LazyHBaseRow.java,3,1,1,0,1,7,0.0,14525515.625,1.0,1,1,0
hcatalog/core/src/main/java/org/apache/hive/hcatalog/data/DataType.java,2,2,1,0,1,2,0.0,13121561.0,1.0,1,1,0
hcatalog/core/src/main/java/org/apache/hive/hcatalog/data/HCatRecord.java,2,2,1,0,1,4,0.0,7941378.333333333,1.0,1,1,0
hcatalog/core/src/main/java/org/apache/hive/hcatalog/data/JsonSerDe.java,2,2,1,0,1,11,0.0,5901722.722222222,2.0,2,1,0
hcatalog/core/src/main/java/org/apache/hive/hcatalog/data/ReaderWriter.java,8,7,1,0,1,3,0.0,6560780.5,1.0,1,1,0
hcatalog/core/src/test/java/org/apache/hive/hcatalog/data/TestDefaultHCatRecord.java,4,4,1,0,1,2,0.0,13121561.0,1.0,1,1,0
hcatalog/core/src/test/java/org/apache/hive/hcatalog/data/TestJsonSerDe.java,3,3,1,0,1,8,0.0,9657364.454545455,2.0,2,1,0
hcatalog/hcatalog-pig-adapter/src/main/java/org/apache/hive/hcatalog/pig/HCatBaseStorer.java,4,4,1,0,1,3,0.0,6560780.5,1.0,1,1,0
hcatalog/hcatalog-pig-adapter/src/main/java/org/apache/hive/hcatalog/pig/HCatLoader.java,1,0,1,0,1,12,0.0,6874619.285714285,1.0,1,1,0
hcatalog/hcatalog-pig-adapter/src/main/java/org/apache/hive/hcatalog/pig/PigHCatUtil.java,5,4,1,0,1,7,0.0,12583239.666666666,1.0,1,1,0
hcatalog/hcatalog-pig-adapter/src/test/java/org/apache/hive/hcatalog/pig/AbstractHCatLoaderTest.java,14,6,1,0,1,5,0.0,7773627.166666667,1.0,1,1,0
hcatalog/hcatalog-pig-adapter/src/test/java/org/apache/hive/hcatalog/pig/AbstractHCatStorerTest.java,5,11,1,0,1,7,0.0,5865226.0,1.0,1,1,0
itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/ColumnVectorGenUtil.java,6,5,1,0,1,2,0.0,9093986.0,1.0,1,1,0
itests/hive-unit/src/test/java/org/apache/hive/jdbc/BaseJdbcWithMiniLlap.java,15,2,2,0,2,2,3603380.0,3603380.0,1.0,1,1,1
itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithMiniLlapArrow.java,233,3,3,0,3,3,1291033.5,1291033.5,1.0,1,3,0
llap-common/src/test/org/apache/hadoop/hive/llap/io/TestChunkedInputStream.java,1,3,1,0,1,4,0.0,6998769.8,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/io/decode/GenericColumnVectorProducer.java,7,4,2,0,2,6,344295.0,2795012.5,1.5,1,2,0
llap-server/src/java/org/apache/hadoop/hive/llap/io/decode/OrcEncodedDataConsumer.java,29,17,3,0,2,10,1510460.5,1323984.5189873418,8.0,2,2,1
ql/src/java/org/apache/hadoop/hive/ql/exec/ColumnStatsUpdateTask.java,2,2,1,0,1,18,0.0,3643414.1071428573,2.0,2,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java,8,7,2,0,2,36,1896901.0,717309.413580247,8.5,2,2,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/TimestampUtils.java,23,6,1,0,1,8,0.0,12583239.666666666,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorAssignRow.java,12,12,1,0,1,12,0.0,4369342.608695652,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorBatchDebug.java,3,4,1,0,1,3,0.0,9513863.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorColumnAssignFactory.java,9,10,1,0,1,12,0.0,6978158.647058823,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorDeserializeRow.java,7,7,1,0,1,15,0.0,2233219.5555555555,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorExtractRow.java,9,6,1,0,1,12,0.0,2576791.794871795,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorHashKeyWrapper.java,2,3,1,0,1,12,0.0,4469389.423076923,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSerializeRow.java,5,1,1,0,1,11,0.0,4187286.6666666665,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,78,53,6,0,4,27,463925.6,614836.6402116402,23.75,1,6,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizedBatchUtil.java,23,30,4,0,3,18,773209.3333333334,2311207.285714286,5.666666666666667,1,4,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastDateToString.java,10,3,1,0,1,3,0.0,10104168.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastDateToTimestamp.java,2,2,1,0,1,5,0.0,4934375.5,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastLongToDate.java,0,1,1,0,1,5,0.0,4380728.352941177,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastLongToTimestamp.java,0,2,1,0,1,8,0.0,3385108.272727273,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastMillisecondsLongToTimestamp.java,0,2,1,0,1,8,0.0,3385108.272727273,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastStringToDate.java,5,5,1,0,1,7,0.0,2806111.652173913,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastTimestampToChar.java,54,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastTimestampToDate.java,2,2,1,0,1,5,0.0,12412063.666666666,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastTimestampToDecimal.java,5,2,1,0,1,6,0.0,16178451.0,1.0,1,1,0
